form,mean_in,count_in,mean_out,count_out,diff
а,0.9098970944231202,11,0.7519520032592113,50,0.15794509116390887
бельмеса,0.0005718315656191899,5,0.005874363035219397,23,-0.005302531469600208
все,0.3948780685663216,5,0.4759726499732637,50,-0.08109458140694209
всем,0.7558903455734248,10,0.5408990694804877,50,0.2149912760929371
да,0.10280337184667501,2,0.39260965933564834,50,-0.2898062874889733
за,0.9987746953964228,5,0.7980158635228868,50,0.20075883187353605
и,0.765496832132339,5,0.6395866637770082,50,0.12591016835533075
как,0.5298608681419859,5,0.7125036907475437,50,-0.18264282260555786
коль,0.9510137557983394,5,0.06559309483271324,50,0.8854206609656261
кто,0.9766090393066404,10,0.816218228358775,50,0.16039081094786545
куда,0.9858611106872555,5,0.5601715608034279,50,0.42568954988382757
легкий,0.1041498200038895,2,0.11873662082694805,50,-0.014586800823058549
легких,0.002264680655181,1,0.3459831197786453,50,-0.34371843912346434
легкой,0.308938711881637,1,0.2389657509002138,50,0.06997296098142322
легком,0.379191368818283,1,0.12137168186461376,50,0.25781968695366925
милость,0.23773836544714802,5,0.3819442086570456,50,-0.14420584320989757
на,0.7901779434510637,7,0.8769903617165978,50,-0.0868124182655341
не,0.7942071311699688,35,0.8252522769813,50,-0.03104514581133122
ничего,0.9800060749053952,5,0.724244722417206,50,0.2557613524881891
но,0.411240547895431,1,0.5299285079304532,50,-0.11868796003502219
ну,0.7292853713035579,5,0.2788460346467759,50,0.450439336656782
одно,0.194104340206831,5,0.7160184662450044,50,-0.5219141260381734
от,0.9979648470878599,5,0.8870039030654876,50,0.11096094402237233
по,0.999474477767944,5,0.8956913965940472,50,0.10378308117389679
получилось,0.5680184900760644,5,0.19897640761576235,50,0.36904208246030207
пудов,0.04115465225936767,3,0.09946017915851106,50,-0.05830552689914339
раз,0.9898101806640621,5,0.8120123055530708,50,0.17779787511099132
развязав,0.003916853386791,1,0.10988176024678985,50,-0.10596490685999885
развязал,0.456415103638292,1,0.16532320523323116,50,0.2910918984050609
развязан,0.033889180975574,1,0.10755192201624211,39,-0.07366274104066811
развязанного,0.0006789542359170001,1,0.03526637553405732,12,-0.034587421298140325
развязать,0.08057975091949601,1,0.23032002620427544,50,-0.14974027528477943
разом,0.9041302680969233,5,0.0805191855170047,50,0.8236110825799187
сказать,0.8830901612118065,10,0.48825274985760436,50,0.39483741135420214
скоро,0.7967755079269406,5,0.3750455911482819,50,0.42172991677865873
смотрю,0.1072222976010377,5,0.16518988028819725,34,-0.057967582687159555
сочла,0.7988348007202141,1,0.28123581132596237,50,0.5175989893942516
сочли,0.546705424785614,1,0.24286762912183746,50,0.30383779566377656
сочтет,0.017502001629750002,1,0.2618160283659811,50,-0.24431402673623112
стал,0.8539781570434566,2,0.4543410415400281,50,0.3996371155034285
стала,0.33036321401596,1,0.4275657504224026,50,-0.09720253640644255
стали,0.30883958935737604,1,0.45947692930602735,50,-0.1506373399486513
станут,0.005750352051109,1,0.3330483488808382,50,-0.32729799682972915
стопудово,1.0098950184281974e-06,2,6.842127509019662e-05,33,-6.741138007176842e-05
судить,0.5359557747840876,5,0.5332300504073367,50,0.002725724376750893
счел,0.47189130202509355,2,0.2880318013049796,50,0.18385950072011398
такая,0.6780721843242641,2,0.44306503676401876,50,0.23500714756024532
такой,0.665294061104456,3,0.46784385461825834,50,0.19745020648619765
тихий,0.12083935411646922,5,0.1454872698548067,50,-0.02464791573833748
ты,0.729333162307739,1,0.5272662607394155,50,0.20206690156832352
у,0.9256492495536799,5,0.819033953947946,50,0.1066152956057339
ужас,0.8408357143402097,5,0.1690017906361117,50,0.671833923704098
фиг,0.0054614457533725,2,0.07360125747885367,50,-0.06813981172548117
фронтам,0.658778831682656,5,0.07961263356426727,50,0.5791661981183888
хрен,0.1476127766088587,3,0.10859540730049101,50,0.039017369308367675
худо-бедно,9.86269619968552e-06,5,5.389147929612319e-05,50,-4.402878309643767e-05
что,0.9815510782328516,11,0.7597216818654848,50,0.22182939636736676
чтобы,0.8155555725097654,5,0.8363560407608743,50,-0.020800468251108928
это,0.6113871932029721,1,0.6397608668031167,50,-0.028373673600144644
я,0.8982506692409511,2,0.6694885349646207,50,0.2287621342763304
