form,mean_in,count_in,mean_out,count_out,diff
а,0.9098970944231202,11,0.7519520032592113,50,0.15794509116390887
все,0.3948780685663216,5,0.4759726499732637,50,-0.08109458140694209
всем,0.7558903455734248,10,0.5518455745519268,49,0.20404477102149798
да,0.10280337184667501,2,0.39260965933564834,50,-0.2898062874889733
за,0.9987746953964228,5,0.7980158635228868,50,0.20075883187353605
и,0.765496832132339,5,0.6395866637770082,50,0.12591016835533075
как,0.5298608681419859,5,0.7125036907475437,50,-0.18264282260555786
коль,0.9510137557983394,5,0.06559309483271324,50,0.8854206609656261
кто,0.9766090393066404,10,0.816218228358775,50,0.16039081094786545
куда,0.9858611106872555,5,0.5601715608034279,50,0.42568954988382757
легкий,0.024513123556971002,1,0.12932836863964214,44,-0.10481524508267115
легкой,0.308938711881637,1,0.238527112627076,49,0.07041159925456103
легком,0.379191368818283,1,0.14489185485217554,40,0.2342995139661075
милость,0.23773836544714802,5,0.4101348917248733,46,-0.17239652627772525
на,0.7901779434510637,7,0.8769903617165978,50,-0.0868124182655341
не,0.7942071311699688,35,0.8252522769813,50,-0.03104514581133122
ничего,0.9800060749053952,5,0.724244722417206,50,0.2557613524881891
но,0.411240547895431,1,0.5299285079304532,50,-0.11868796003502219
ну,0.7292853713035579,5,0.2788460346467759,50,0.450439336656782
одно,0.194104340206831,5,0.7160184662450044,50,-0.5219141260381734
от,0.9979648470878599,5,0.8870039030654876,50,0.11096094402237233
по,0.999474477767944,5,0.8956913965940472,50,0.10378308117389679
получилось,0.5680184900760644,5,0.21620460560291566,46,0.35181388447314876
раз,0.9898101806640621,5,0.8120123055530708,50,0.17779787511099132
разом,0.9041302680969233,5,0.0805191855170047,50,0.8236110825799187
сказать,0.8672323425610856,6,0.498217091686567,49,0.3690152508745186
скоро,0.7967755079269406,5,0.3750455911482819,50,0.42172991677865873
смотрю,0.1072222976010377,5,0.2871964258794079,17,-0.17997412827837023
сочла,0.7988348007202141,1,0.28697531630835427,49,0.5118594844118598
сочли,0.546705424785614,1,0.24779219566451868,49,0.2989132291210953
стал,0.8539781570434566,2,0.4543410415400281,50,0.3996371155034285
стала,0.33036321401596,1,0.43339022269445115,49,-0.10302700867849113
стали,0.30883958935737604,1,0.46883943805827616,49,-0.15999984870090012
станут,0.005750352051109,1,0.3330483488808382,50,-0.32729799682972915
судить,0.5359557747840876,5,0.5661859590977555,47,-0.030230184313667863
счел,0.504115760326385,1,0.3126509828230743,46,0.19146477750331076
такая,0.6780721843242641,2,0.44306503676401876,50,0.23500714756024532
такой,0.665294061104456,3,0.46784385461825834,50,0.19745020648619765
тихий,0.12083935411646922,5,0.1479045196639888,43,-0.027065165547519573
ты,0.729333162307739,1,0.5272662607394155,50,0.20206690156832352
у,0.9256492495536799,5,0.819033953947946,50,0.1066152956057339
ужас,0.8408357143402097,5,0.19939681525561087,42,0.6414388990845987
хрен,0.33353421092033303,1,0.12974595925884458,39,0.20378825166148845
что,0.9815510782328516,11,0.7597216818654848,50,0.22182939636736676
чтобы,0.8155555725097654,5,0.8363560407608743,50,-0.020800468251108928
это,0.6113871932029721,1,0.6397608668031167,50,-0.028373673600144644
я,0.8982506692409511,2,0.6694885349646207,50,0.2287621342763304
