record,text,lemma,p_single,p_lemma,gain
1676,получилось,получиться,0.32249897718429504,0.9785662889480591,0.6560673117637641
4035,такой,такой,0.37020120024681,0.973898589611053,0.603697389364243
4035,такая,такой,0.38141131401062,0.9840368032455441,0.6026254892349241
4050,все,все,0.47655150294303805,0.9546765685081481,0.47812506556511003
4056,Ну,ну,0.514445006847381,0.978714048862457,0.464269042015076
4050,все,все,0.398664414882659,0.804436743259429,0.40577232837677
4050,всё,все,0.137218132615089,0.505702674388885,0.3684845417737961
4050,все,все,0.6517090797424311,0.9921188950538631,0.340409815311432
4050,все,все,0.310247212648391,0.641459167003631,0.33121195435524003
4035,такой,такой,0.662666201591491,0.9800831675529481,0.3174169659614571
1676,получилось,получиться,0.341106861829757,0.513225376605987,0.17211851477622997
4056,ну,ну,0.7215613126754761,0.8826973438262941,0.16113603115081798
4050,Что,что,0.830831825733184,0.979596376419067,0.148764550685883
4069,Я,я,0.839909195899963,0.9760193824768061,0.13611018657684304
3931,станут,стать,0.005750352051109,0.11937582492828301,0.113625472877174
4034,на,на,0.8550871014595031,0.9352920651435851,0.08020496368408203
4035,Кто,кто,0.9296832084655761,0.996728539466857,0.06704533100128096
1676,получилось,получиться,0.525875210762023,0.565525531768798,0.03965032100677501
4069,Я,я,0.956592142581939,0.9947450757026671,0.038152933120728094
4072,Раз,раз,0.9593989253044121,0.9958392381668091,0.03644031286239702
4056,ну,ну,0.8739081025123591,0.903477907180786,0.029569804668426958
4035,Кто,кто,0.9689701199531551,0.9981783628463741,0.029208242893218994
1676,получилось,получиться,0.7976109981536861,0.826715409755706,0.02910441160201993
2232,Коль,коль,0.9345978498458861,0.9626826047897331,0.02808475494384699
3921,сказать,сказать,0.38406246900558405,0.407420307397842,0.023357838392257968
4054,Не,не,0.9738212227821351,0.9963490962982171,0.022527873516081987
1676,У,у,0.969989299774169,0.9902215003967281,0.020232200622559038
4035,Кто,кто,0.9717184305191041,0.9912751317024231,0.01955670118331898
4057,всем,весь,0.9617790579795831,0.9792129397392271,0.017433881759644
4056,Ну,ну,0.5895437002182,0.6057246923446651,0.016180992126465066
2232,Коль,коль,0.933149278163909,0.9479208588600151,0.014771580696106068
4035,такая,такой,0.974733054637908,0.9891970753669731,0.014464020729065052
1676,получилось,получиться,0.8530004024505611,0.8657866120338441,0.012786209583283026
4057,всем,весь,0.91573429107666,0.9283151030540461,0.01258081197738603
1676,у,у,0.7465242743492121,0.759037613868713,0.012513339519500954
2232,Коль,коль,0.9459173679351801,0.9565107226371761,0.01059335470199596
4056,Ну,ну,0.9469687342643731,0.955648839473724,0.008680105209350919
4057,всем,весь,0.9575470089912411,0.9643720388412471,0.0068250298500059925
3428,кто,кто,0.986901462078094,0.9921326637268061,0.005231201648712047
3421,сочла,счесть,0.7988348007202141,0.8040447831153871,0.005209982395173007
4050,одно,один,0.157412812113761,0.16261389851570102,0.005201086401940003
3921,сказать,сказать,0.8351115584373471,0.840278327465057,0.005166769027709961
4050,одно,один,0.30887708067893904,0.31336236000061,0.004485279321670976
3428,кто,кто,0.9896770119667051,0.993965089321136,0.00428807735443093
2232,коль,коль,0.9459141492843621,0.9496132731437681,0.0036991238594059617
4057,Всем,весь,0.5618819594383241,0.565137147903442,0.003255188465117964
3428,кто,кто,0.959288418292999,0.962365686893463,0.003077268600463978
4079,всем,весь,0.9638171792030331,0.9665802121162411,0.002763032913208008
4060,как,как,0.8805326223373411,0.883158862590789,0.002626240253447931
2232,коль,коль,0.9954901337623591,0.9980159401893611,0.002525806427002064
4079,всем,весь,0.9769566655158991,0.9794209599494931,0.002464294433593972
3931,стал,стать,0.9776000380516051,0.979868412017822,0.00226837396621693
