pos,n_anchor,n_filler,median_anchor,median_filler,share_gt_05_anchor,share_gt_05_filler,cliffs_delta,mannwhitney_p
ADJF,30,42,0.35635642707347803,0.38615435361862105,0.36666666666666664,0.42857142857142855,0.11269841269841274,0.42067296395350795
ADJS,2,5,1.0098950184281974e-06,0.6493674516677851,0.0,0.6,-1.0,
ADVB,20,27,0.9319871962070465,0.047945871949195,0.75,0.1111111111111111,0.4370370370370371,0.011464984980128436
COMP,0,4,,0.19454456366669903,,0.25,,
CONJ,48,19,0.9694345891475671,0.9758614897727961,0.8958333333333334,0.8947368421052632,-0.010964912280701733,0.9500876776238028
GRND,1,0,0.003916853386791,,0.0,,,
INFN,16,57,0.8761044605761505,0.017211319878697,0.75,0.21052631578947367,0.736842105263158,7.686642711236458e-06
NONE,0,3,,0.44474095106124806,,0.3333333333333333,,
NOUN,33,180,0.21308976411819402,0.0484697410522385,0.45454545454545453,0.25555555555555554,0.2649831649831649,0.015669941524406664
NPRO,13,57,0.9689701199531551,0.6325222253799431,1.0,0.5789473684210527,0.6113360323886641,0.0006420656952307869
NUMR,0,2,,0.9711621105670926,,1.0,,
PRCL,48,24,0.9809388816356657,0.9858512282371517,0.7291666666666666,0.75,-0.01736111111111116,0.9096485203225574
PRED,0,5,,0.264574855566024,,0.2,,
PREP,27,33,0.9966850876808161,0.994228363037109,0.9629629629629629,0.9393939393939394,0.16947250280583614,0.26509990618934587
PRTF,1,4,0.0006789542359170001,0.0005912055902515,0.0,0.0,0.0,
PRTS,1,2,0.033889180975574,0.35157552491154553,0.0,0.5,0.0,
VERB,21,72,0.43966684372380205,0.130160071645349,0.38095238095238093,0.3472222222222222,0.10185185185185186,0.4820992157817593
