pos,n_anchor,n_filler,median_anchor,median_filler,share_gt_05_anchor,share_gt_05_filler,cliffs_delta,mannwhitney_p
ADJF,28,32,0.37469628453254655,0.5892277956008906,0.39285714285714285,0.53125,-0.015625,0.923271960748488
ADJS,0,4,,0.7204491496086116,,0.75,,
ADVB,15,21,0.9925091862678521,0.047945871949195,1.0,0.14285714285714285,0.892063492063492,7.047940991974825e-06
COMP,0,2,,0.486934527754783,,0.5,,
CONJ,48,19,0.9694345891475671,0.9758614897727961,0.8958333333333334,0.8947368421052632,-0.010964912280701733,0.9500876776238028
INFN,11,39,0.8351115584373471,0.15247419476509,0.7272727272727273,0.28205128205128205,0.6643356643356644,0.0008824002601200647
NONE,0,3,,0.44474095106124806,,0.3333333333333333,,
NOUN,16,128,0.831534713506698,0.11681712046265551,0.6875,0.3203125,0.5400390625,0.0004444852484233484
NPRO,13,56,0.9689701199531551,0.6203668117523186,1.0,0.5714285714285714,0.6071428571428572,0.0007153100391853168
NUMR,0,2,,0.9711621105670926,,1.0,,
PRCL,48,23,0.9809388816356657,0.9874215126037591,0.7291666666666666,0.782608695652174,-0.05434782608695654,0.7170072071267906
PRED,0,5,,0.264574855566024,,0.2,,
PREP,27,33,0.9966850876808161,0.994228363037109,0.9629629629629629,0.9393939393939394,0.16947250280583614,0.26509990618934587
PRTS,0,1,,0.00692616449669,,0.0,,
VERB,18,38,0.41359069943428006,0.355668649077415,0.4444444444444444,0.39473684210526316,-0.005847953216374324,0.9790054610939668
