syn,n_anchor,n_filler,median_anchor,median_filler,share_gt_05_anchor,share_gt_05_filler,cliffs_delta,mannwhitney_p
Biclausal Construction,25,52,0.803704500198364,0.22047489038818702,0.52,0.34615384615384615,0.39538461538461545,0.005265074197611509
Clause,25,29,0.7928618192672731,0.49709143991282506,0.68,0.4827586206896552,0.04551724137931035,0.7813484834822917
Clause and Modifier Construction,25,76,0.998220384120941,0.19504972547292654,0.8,0.35526315789473684,0.5336842105263158,6.73111844288971e-05
Clause or XP with parentheticals,13,58,0.030591285845588,0.291265621781349,0.23076923076923078,0.39655172413793105,-0.36074270557029176,0.04395184704867759
Connection Construction,36,91,0.9455634355545042,0.5022734999656671,0.7222222222222222,0.5054945054945055,0.3473748473748475,0.0023564175356238027
Copula Construction,21,40,0.9574279189109801,0.11656498785691502,0.6666666666666666,0.3,0.2880952380952382,0.0673816437282353
Head and Modifier Construction,30,19,0.9699808657169335,0.072422564029693,0.7666666666666667,0.3684210526315789,0.6210526315789473,0.00029266935472969447
Matrix and Infinitival Complement Construction,20,79,0.638530850410461,0.153802961111068,0.65,0.3670886075949367,0.34303797468354436,0.018404468713307275
Matrix and Sentential Complement Construction,47,69,0.9689701199531551,0.5449398159980771,0.8936170212765957,0.5072463768115942,0.5195806352143078,2.188629270867555e-06
Predicate Argument Construction,19,23,0.09870658814907,9.685723489383237e-05,0.3684210526315789,0.043478260869565216,0.757437070938215,3.0506753105227546e-05
