syn,n_anchor,n_filler,median_anchor,median_filler,share_gt_05_anchor,share_gt_05_filler,cliffs_delta,mannwhitney_p
Biclausal Construction,21,36,0.9647825956344601,0.4398276507854455,0.6190476190476191,0.4722222222222222,0.33597883597883604,0.03637625329965322
Clause,25,16,0.7928618192672731,0.3709026426076885,0.68,0.4375,0.1499999999999999,0.4304506879477683
Clause and Modifier Construction,20,64,0.9986946284770966,0.28580605983734053,1.0,0.40625,0.903125,1.3198393941071842e-09
Clause or XP with parentheticals,8,48,0.26022602058947053,0.4223279058933256,0.375,0.4583333333333333,-0.27083333333333337,0.2327401851359359
Connection Construction,36,71,0.9455634355545042,0.6185446381568901,0.7222222222222222,0.5915492957746479,0.227699530516432,0.05544995641422659
Copula Construction,16,24,0.9728453457355496,0.33270418643951405,0.875,0.4166666666666667,0.5052083333333333,0.007718071325771319
Head and Modifier Construction,23,10,0.986901462078094,0.3737511038780205,0.8260869565217391,0.5,0.5826086956521739,0.009187238751612453
Matrix and Infinitival Complement Construction,18,63,0.7384402751922601,0.38401404023170405,0.7222222222222222,0.4444444444444444,0.2733686067019401,0.07923958696937908
Matrix and Sentential Complement Construction,43,61,0.974733054637908,0.6675779223442071,0.8837209302325582,0.5737704918032787,0.47159740754860846,4.51721372519787e-05
Predicate Argument Construction,14,13,0.4153979122638695,0.0006334782228800001,0.5,0.07692307692307693,0.6593406593406594,0.00388555598618073
